Country,Lat,Long,Date,Confirmed_cases,Dead,Recovered
Ghana,7.9465,-1.0232,2020-04-10,378,6,4
Ghana,7.9465,-1.0232,2020-04-11,408,8,4
Ghana,7.9465,-1.0232,2020-04-12,566,8,4
Ghana,7.9465,-1.0232,2020-04-13,566,8,4
Ghana,7.9465,-1.0232,2020-04-14,636,8,17
Ghana,7.9465,-1.0232,2020-04-15,636,8,17
Ghana,7.9465,-1.0232,2020-04-16,641,8,83
Ghana,7.9465,-1.0232,2020-04-17,641,8,83
Ghana,7.9465,-1.0232,2020-04-18,834,9,99
Ghana,7.9465,-1.0232,2020-04-19,1042,9,99
Ghana,7.9465,-1.0232,2020-04-20,1042,9,99
Ghana,7.9465,-1.0232,2020-04-21,1042,9,99
Ghana,7.9465,-1.0232,2020-04-22,1154,9,99
Ghana,7.9465,-1.0232,2020-04-23,1154,9,99
Gambia,13.4432,-15.3101,2020-01-22,0,0,0
Gambia,13.4432,-15.3101,2020-01-23,0,0,0
Gambia,13.4432,-15.3101,2020-01-24,0,0,0
Gambia,13.4432,-15.3101,2020-01-25,0,0,0
Gambia,13.4432,-15.3101,2020-01-26,0,0,0
Gambia,13.4432,-15.3101,2020-01-27,0,0,0
Gambia,13.4432,-15.3101,2020-01-28,0,0,0
Gambia,13.4432,-15.3101,2020-01-29,0,0,0
Gambia,13.4432,-15.3101,2020-01-30,0,0,0
Gambia,13.4432,-15.3101,2020-01-31,0,0,0
Gambia,13.4432,-15.3101,2020-02-01,0,0,0
Gambia,13.4432,-15.3101,2020-02-02,0,0,0
Gambia,13.4432,-15.3101,2020-02-03,0,0,0
Gambia,13.4432,-15.3101,2020-02-04,0,0,0
Gambia,13.4432,-15.3101,2020-02-05,0,0,0
Gambia,13.4432,-15.3101,2020-02-06,0,0,0
Gambia,13.4432,-15.3101,2020-02-07,0,0,0
Gambia,13.4432,-15.3101,2020-02-08,0,0,0
Gambia,13.4432,-15.3101,2020-02-09,0,0,0
Gambia,13.4432,-15.3101,2020-02-10,0,0,0
Gambia,13.4432,-15.3101,2020-02-11,0,0,0
Gambia,13.4432,-15.3101,2020-02-12,0,0,0
Gambia,13.4432,-15.3101,2020-02-13,0,0,0
Gambia,13.4432,-15.3101,2020-02-14,0,0,0
Gambia,13.4432,-15.3101,2020-02-15,0,0,0
Gambia,13.4432,-15.3101,2020-02-16,0,0,0
Gambia,13.4432,-15.3101,2020-02-17,0,0,0
Gambia,13.4432,-15.3101,2020-02-18,0,0,0
Gambia,13.4432,-15.3101,2020-02-19,0,0,0
Gambia,13.4432,-15.3101,2020-02-20,0,0,0
Gambia,13.4432,-15.3101,2020-02-21,0,0,0
Gambia,13.4432,-15.3101,2020-02-22,0,0,0
Gambia,13.4432,-15.3101,2020-02-23,0,0,0
Gambia,13.4432,-15.3101,2020-02-24,0,0,0
Gambia,13.4432,-15.3101,2020-02-25,0,0,0
Gambia,13.4432,-15.3101,2020-02-26,0,0,0
Gambia,13.4432,-15.3101,2020-02-27,0,0,0
Gambia,13.4432,-15.3101,2020-02-28,0,0,0
Gambia,13.4432,-15.3101,2020-02-29,0,0,0
Gambia,13.4432,-15.3101,2020-03-01,0,0,0
Gambia,13.4432,-15.3101,2020-03-02,0,0,0
Gambia,13.4432,-15.3101,2020-03-03,0,0,0
Gambia,13.4432,-15.3101,2020-03-04,0,0,0
Gambia,13.4432,-15.3101,2020-03-05,0,0,0
Gambia,13.4432,-15.3101,2020-03-06,0,0,0
Gambia,13.4432,-15.3101,2020-03-07,0,0,0
Gambia,13.4432,-15.3101,2020-03-08,0,0,0
Gambia,13.4432,-15.3101,2020-03-09,0,0,0
Gambia,13.4432,-15.3101,2020-03-10,0,0,0
Gambia,13.4432,-15.3101,2020-03-11,0,0,0
Gambia,13.4432,-15.3101,2020-03-12,0,0,0
Gambia,13.4432,-15.3101,2020-03-13,0,0,0
Gambia,13.4432,-15.3101,2020-03-14,0,0,0
Gambia,13.4432,-15.3101,2020-03-15,0,0,0
Gambia,13.4432,-15.3101,2020-03-16,0,0,0
Gambia,13.4432,-15.3101,2020-03-17,1,0,0
Gambia,13.4432,-15.3101,2020-03-18,1,0,0
Gambia,13.4432,-15.3101,2020-03-19,1,0,0
Gambia,13.4432,-15.3101,2020-03-20,1,0,0
Gambia,13.4432,-15.3101,2020-03-21,1,0,0
Gambia,13.4432,-15.3101,2020-03-22,1,0,0
Gambia,13.4432,-15.3101,2020-03-23,2,1,0
Gambia,13.4432,-15.3101,2020-03-24,3,1,0
Gambia,13.4432,-15.3101,2020-03-25,3,1,0
Gambia,13.4432,-15.3101,2020-03-26,3,1,0
Gambia,13.4432,-15.3101,2020-03-27,3,1,0
Gambia,13.4432,-15.3101,2020-03-28,3,1,0
Gambia,13.4432,-15.3101,2020-03-29,4,1,0
Gambia,13.4432,-15.3101,2020-03-30,4,1,0
Gambia,13.4432,-15.3101,2020-03-31,4,1,0
Gambia,13.4432,-15.3101,2020-04-01,4,1,2
Gambia,13.4432,-15.3101,2020-04-02,4,1,2
Gambia,13.4432,-15.3101,2020-04-03,4,1,2
Gambia,13.4432,-15.3101,2020-04-04,4,1,2
Gambia,13.4432,-15.3101,2020-04-05,4,1,2
Gambia,13.4432,-15.3101,2020-04-06,4,1,2
Gambia,13.4432,-15.3101,2020-04-07,4,1,2
Gambia,13.4432,-15.3101,2020-04-08,4,1,2
Gambia,13.4432,-15.3101,2020-04-09,4,1,2
Gambia,13.4432,-15.3101,2020-04-10,4,1,2
Gambia,13.4432,-15.3101,2020-04-11,9,1,2
Gambia,13.4432,-15.3101,2020-04-12,9,1,2
Gambia,13.4432,-15.3101,2020-04-13,9,1,2
Gambia,13.4432,-15.3101,2020-04-14,9,1,2
Gambia,13.4432,-15.3101,2020-04-15,9,1,2
Gambia,13.4432,-15.3101,2020-04-16,9,1,2
Gambia,13.4432,-15.3101,2020-04-17,9,1,2
Gambia,13.4432,-15.3101,2020-04-18,9,1,2
Gambia,13.4432,-15.3101,2020-04-19,10,1,2
Gambia,13.4432,-15.3101,2020-04-20,10,1,2
Gambia,13.4432,-15.3101,2020-04-21,10,1,2
Gambia,13.4432,-15.3101,2020-04-22,10,1,2
Gambia,13.4432,-15.3101,2020-04-23,10,1,2
Guinea,9.9456,-9.6966,2020-01-22,0,0,0
Guinea,9.9456,-9.6966,2020-01-23,0,0,0
Guinea,9.9456,-9.6966,2020-01-24,0,0,0
Guinea,9.9456,-9.6966,2020-01-25,0,0,0
Guinea,9.9456,-9.6966,2020-01-26,0,0,0
Guinea,9.9456,-9.6966,2020-01-27,0,0,0
Guinea,9.9456,-9.6966,2020-01-28,0,0,0
Guinea,9.9456,-9.6966,2020-01-29,0,0,0
Guinea,9.9456,-9.6966,2020-01-30,0,0,0
Guinea,9.9456,-9.6966,2020-01-31,0,0,0
Guinea,9.9456,-9.6966,2020-02-01,0,0,0
Guinea,9.9456,-9.6966,2020-02-02,0,0,0
Guinea,9.9456,-9.6966,2020-02-03,0,0,0
Guinea,9.9456,-9.6966,2020-02-04,0,0,0
Guinea,9.9456,-9.6966,2020-02-05,0,0,0
Guinea,9.9456,-9.6966,2020-02-06,0,0,0
Guinea,9.9456,-9.6966,2020-02-07,0,0,0
Guinea,9.9456,-9.6966,2020-02-08,0,0,0
Guinea,9.9456,-9.6966,2020-02-09,0,0,0
Guinea,9.9456,-9.6966,2020-02-10,0,0,0
Guinea,9.9456,-9.6966,2020-02-11,0,0,0
Guinea,9.9456,-9.6966,2020-02-12,0,0,0
Guinea,9.9456,-9.6966,2020-02-13,0,0,0
Guinea,9.9456,-9.6966,2020-02-14,0,0,0
Guinea,9.9456,-9.6966,2020-02-15,0,0,0
Guinea,9.9456,-9.6966,2020-02-16,0,0,0
Guinea,9.9456,-9.6966,2020-02-17,0,0,0
Guinea,9.9456,-9.6966,2020-02-18,0,0,0
Guinea,9.9456,-9.6966,2020-02-19,0,0,0
Guinea,9.9456,-9.6966,2020-02-20,0,0,0
Guinea,9.9456,-9.6966,2020-02-21,0,0,0
Guinea,9.9456,-9.6966,2020-02-22,0,0,0
Guinea,9.9456,-9.6966,2020-02-23,0,0,0
Guinea,9.9456,-9.6966,2020-02-24,0,0,0
Guinea,9.9456,-9.6966,2020-02-25,0,0,0
Guinea,9.9456,-9.6966,2020-02-26,0,0,0
Guinea,9.9456,-9.6966,2020-02-27,0,0,0
Guinea,9.9456,-9.6966,2020-02-28,0,0,0
Guinea,9.9456,-9.6966,2020-02-29,0,0,0
Guinea,9.9456,-9.6966,2020-03-01,0,0,0
Guinea,9.9456,-9.6966,2020-03-02,0,0,0
Guinea,9.9456,-9.6966,2020-03-03,0,0,0
Guinea,9.9456,-9.6966,2020-03-04,0,0,0
Guinea,9.9456,-9.6966,2020-03-05,0,0,0
Guinea,9.9456,-9.6966,2020-03-06,0,0,0
Guinea,9.9456,-9.6966,2020-03-07,0,0,0
Guinea,9.9456,-9.6966,2020-03-08,0,0,0
Guinea,9.9456,-9.6966,2020-03-09,0,0,0
Guinea,9.9456,-9.6966,2020-03-10,0,0,0
Guinea,9.9456,-9.6966,2020-03-11,0,0,0
Guinea,9.9456,-9.6966,2020-03-12,0,0,0
Guinea,9.9456,-9.6966,2020-03-13,1,0,0
Guinea,9.9456,-9.6966,2020-03-14,1,0,0
Guinea,9.9456,-9.6966,2020-03-15,1,0,0
Guinea,9.9456,-9.6966,2020-03-16,1,0,0
Guinea,9.9456,-9.6966,2020-03-17,1,0,0
Guinea,9.9456,-9.6966,2020-03-18,1,0,0
Guinea,9.9456,-9.6966,2020-03-19,1,0,0
Guinea,9.9456,-9.6966,2020-03-20,1,0,0
Guinea,9.9456,-9.6966,2020-03-21,2,0,0
Guinea,9.9456,-9.6966,2020-03-22,2,0,0
Guinea,9.9456,-9.6966,2020-03-23,4,0,0
Guinea,9.9456,-9.6966,2020-03-24,4,0,0
Guinea,9.9456,-9.6966,2020-03-25,4,0,0
Guinea,9.9456,-9.6966,2020-03-26,4,0,0
Guinea,9.9456,-9.6966,2020-03-27,8,0,0
Guinea,9.9456,-9.6966,2020-03-28,8,0,0
Guinea,9.9456,-9.6966,2020-03-29,16,0,0
Guinea,9.9456,-9.6966,2020-03-30,22,0,0
Guinea,9.9456,-9.6966,2020-03-31,22,0,0
Guinea,9.9456,-9.6966,2020-04-01,30,0,0
Guinea,9.9456,-9.6966,2020-04-02,52,0,0
Guinea,9.9456,-9.6966,2020-04-03,73,0,2
Guinea,9.9456,-9.6966,2020-04-04,111,0,5
Guinea,9.9456,-9.6966,2020-04-05,121,0,5
Guinea,9.9456,-9.6966,2020-04-06,128,0,5
Guinea,9.9456,-9.6966,2020-04-07,144,0,5
Guinea,9.9456,-9.6966,2020-04-08,164,0,5
Guinea,9.9456,-9.6966,2020-04-09,194,0,11
Guinea,9.9456,-9.6966,2020-04-10,212,0,15
Guinea,9.9456,-9.6966,2020-04-11,250,0,17
Guinea,9.9456,-9.6966,2020-04-12,250,0,17
Guinea,9.9456,-9.6966,2020-04-13,319,0,17
Guinea,9.9456,-9.6966,2020-04-14,363,0,31
Guinea,9.9456,-9.6966,2020-04-15,404,1,31
Guinea,9.9456,-9.6966,2020-04-16,438,1,49
Guinea,9.9456,-9.6966,2020-04-17,477,3,59
Guinea,9.9456,-9.6966,2020-04-18,518,3,65
Guinea,9.9456,-9.6966,2020-04-19,579,5,87
Guinea,9.9456,-9.6966,2020-04-20,622,5,122
Guinea,9.9456,-9.6966,2020-04-21,688,6,127
Guinea,9.9456,-9.6966,2020-04-22,761,6,164
Guinea,9.9456,-9.6966,2020-04-23,862,6,170
Guinea-Bissau,11.8037,-15.1804,2020-01-22,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-23,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-24,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-25,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-26,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-27,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-28,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-29,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-30,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-01-31,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-01,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-02,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-03,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-04,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-05,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-06,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-07,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-08,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-09,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-10,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-11,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-12,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-13,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-14,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-15,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-16,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-17,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-18,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-19,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-20,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-21,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-22,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-23,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-24,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-25,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-26,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-27,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-28,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-02-29,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-01,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-02,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-03,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-04,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-05,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-06,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-07,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-08,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-09,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-10,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-11,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-12,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-13,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-14,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-15,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-16,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-17,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-18,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-19,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-20,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-21,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-22,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-23,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-24,0,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-25,2,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-26,2,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-27,2,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-28,2,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-29,2,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-30,8,0,0
Guinea-Bissau,11.8037,-15.1804,2020-03-31,8,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-01,9,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-02,9,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-03,15,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-04,18,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-05,18,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-06,18,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-07,33,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-08,33,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-09,36,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-10,36,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-11,38,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-12,38,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-13,38,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-14,38,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-15,43,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-16,43,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-17,43,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-18,46,0,0
Guinea-Bissau,11.8037,-15.1804,2020-04-19,50,0,3
Guinea-Bissau,11.8037,-15.1804,2020-04-20,50,0,3
Guinea-Bissau,11.8037,-15.1804,2020-04-21,50,0,3
Guinea-Bissau,11.8037,-15.1804,2020-04-22,50,0,3
Guinea-Bissau,11.8037,-15.1804,2020-04-23,50,0,3
Liberia,6.4281,-9.4295,2020-01-22,0,0,0
Liberia,6.4281,-9.4295,2020-01-23,0,0,0
Liberia,6.4281,-9.4295,2020-01-24,0,0,0
Liberia,6.4281,-9.4295,2020-01-25,0,0,0
Liberia,6.4281,-9.4295,2020-01-26,0,0,0
Liberia,6.4281,-9.4295,2020-01-27,0,0,0
Liberia,6.4281,-9.4295,2020-01-28,0,0,0
Liberia,6.4281,-9.4295,2020-01-29,0,0,0
Liberia,6.4281,-9.4295,2020-01-30,0,0,0
Liberia,6.4281,-9.4295,2020-01-31,0,0,0
Liberia,6.4281,-9.4295,2020-02-01,0,0,0
Liberia,6.4281,-9.4295,2020-02-02,0,0,0
Liberia,6.4281,-9.4295,2020-02-03,0,0,0
Liberia,6.4281,-9.4295,2020-02-04,0,0,0
Liberia,6.4281,-9.4295,2020-02-05,0,0,0
Liberia,6.4281,-9.4295,2020-02-06,0,0,0
Liberia,6.4281,-9.4295,2020-02-07,0,0,0
Liberia,6.4281,-9.4295,2020-02-08,0,0,0
Liberia,6.4281,-9.4295,2020-02-09,0,0,0
Liberia,6.4281,-9.4295,2020-02-10,0,0,0
Liberia,6.4281,-9.4295,2020-02-11,0,0,0
Liberia,6.4281,-9.4295,2020-02-12,0,0,0
Liberia,6.4281,-9.4295,2020-02-13,0,0,0
Liberia,6.4281,-9.4295,2020-02-14,0,0,0
Liberia,6.4281,-9.4295,2020-02-15,0,0,0
Liberia,6.4281,-9.4295,2020-02-16,0,0,0
Liberia,6.4281,-9.4295,2020-02-17,0,0,0
Liberia,6.4281,-9.4295,2020-02-18,0,0,0
Liberia,6.4281,-9.4295,2020-02-19,0,0,0
Liberia,6.4281,-9.4295,2020-02-20,0,0,0
Liberia,6.4281,-9.4295,2020-02-21,0,0,0
Liberia,6.4281,-9.4295,2020-02-22,0,0,0
Liberia,6.4281,-9.4295,2020-02-23,0,0,0
Liberia,6.4281,-9.4295,2020-02-24,0,0,0
Liberia,6.4281,-9.4295,2020-02-25,0,0,0
Liberia,6.4281,-9.4295,2020-02-26,0,0,0
Liberia,6.4281,-9.4295,2020-02-27,0,0,0
Liberia,6.4281,-9.4295,2020-02-28,0,0,0
Liberia,6.4281,-9.4295,2020-02-29,0,0,0
Liberia,6.4281,-9.4295,2020-03-01,0,0,0
Liberia,6.4281,-9.4295,2020-03-02,0,0,0
Liberia,6.4281,-9.4295,2020-03-03,0,0,0
Liberia,6.4281,-9.4295,2020-03-04,0,0,0
Liberia,6.4281,-9.4295,2020-03-05,0,0,0
Liberia,6.4281,-9.4295,2020-03-06,0,0,0
Liberia,6.4281,-9.4295,2020-03-07,0,0,0
Liberia,6.4281,-9.4295,2020-03-08,0,0,0
Liberia,6.4281,-9.4295,2020-03-09,0,0,0
Liberia,6.4281,-9.4295,2020-03-10,0,0,0
Liberia,6.4281,-9.4295,2020-03-11,0,0,0
Liberia,6.4281,-9.4295,2020-03-12,0,0,0
Liberia,6.4281,-9.4295,2020-03-13,0,0,0
Liberia,6.4281,-9.4295,2020-03-14,0,0,0
Liberia,6.4281,-9.4295,2020-03-15,0,0,0
Liberia,6.4281,-9.4295,2020-03-16,1,0,0
Liberia,6.4281,-9.4295,2020-03-17,1,0,0
Liberia,6.4281,-9.4295,2020-03-18,2,0,0
Liberia,6.4281,-9.4295,2020-03-19,2,0,0
Liberia,6.4281,-9.4295,2020-03-20,2,0,0
Liberia,6.4281,-9.4295,2020-03-21,3,0,0
Liberia,6.4281,-9.4295,2020-03-22,3,0,0
Liberia,6.4281,-9.4295,2020-03-23,3,0,0
Liberia,6.4281,-9.4295,2020-03-24,3,0,0
Liberia,6.4281,-9.4295,2020-03-25,3,0,0
Liberia,6.4281,-9.4295,2020-03-26,3,0,0
Liberia,6.4281,-9.4295,2020-03-27,3,0,0
Liberia,6.4281,-9.4295,2020-03-28,3,0,0
Liberia,6.4281,-9.4295,2020-03-29,3,0,0
Liberia,6.4281,-9.4295,2020-03-30,3,0,0
Liberia,6.4281,-9.4295,2020-03-31,3,0,0
Liberia,6.4281,-9.4295,2020-04-01,6,0,0
Liberia,6.4281,-9.4295,2020-04-02,6,0,0
Liberia,6.4281,-9.4295,2020-04-03,7,0,0
Liberia,6.4281,-9.4295,2020-04-04,10,1,3
Liberia,6.4281,-9.4295,2020-04-05,13,3,3
Liberia,6.4281,-9.4295,2020-04-06,14,3,3
Liberia,6.4281,-9.4295,2020-04-07,14,3,3
Liberia,6.4281,-9.4295,2020-04-08,31,4,3
Liberia,6.4281,-9.4295,2020-04-09,31,4,3
Liberia,6.4281,-9.4295,2020-04-10,37,5,3
Liberia,6.4281,-9.4295,2020-04-11,48,5,3
Liberia,6.4281,-9.4295,2020-04-12,50,5,3
Liberia,6.4281,-9.4295,2020-04-13,59,6,4
Liberia,6.4281,-9.4295,2020-04-14,59,6,4
Liberia,6.4281,-9.4295,2020-04-15,59,6,4
Liberia,6.4281,-9.4295,2020-04-16,59,6,4
Liberia,6.4281,-9.4295,2020-04-17,76,7,7
Liberia,6.4281,-9.4295,2020-04-18,76,7,7
Liberia,6.4281,-9.4295,2020-04-19,91,8,7
Liberia,6.4281,-9.4295,2020-04-20,99,8,7
Liberia,6.4281,-9.4295,2020-04-21,101,8,7
Liberia,6.4281,-9.4295,2020-04-22,101,8,20
Liberia,6.4281,-9.4295,2020-04-23,101,8,20
Mali,17.570692,-3.996166000000001,2020-01-22,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-23,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-24,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-25,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-26,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-27,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-28,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-29,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-30,0,0,0
Mali,17.570692,-3.996166000000001,2020-01-31,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-01,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-02,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-03,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-04,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-05,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-06,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-07,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-08,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-09,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-10,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-11,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-12,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-13,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-14,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-15,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-16,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-17,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-18,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-19,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-20,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-21,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-22,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-23,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-24,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-25,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-26,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-27,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-28,0,0,0
Mali,17.570692,-3.996166000000001,2020-02-29,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-01,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-02,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-03,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-04,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-05,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-06,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-07,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-08,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-09,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-10,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-11,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-12,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-13,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-14,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-15,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-16,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-17,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-18,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-19,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-20,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-21,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-22,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-23,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-24,0,0,0
Mali,17.570692,-3.996166000000001,2020-03-25,2,0,0
Mali,17.570692,-3.996166000000001,2020-03-26,4,0,0
Mali,17.570692,-3.996166000000001,2020-03-27,11,0,0
Mali,17.570692,-3.996166000000001,2020-03-28,18,0,0
Mali,17.570692,-3.996166000000001,2020-03-29,18,1,0
Mali,17.570692,-3.996166000000001,2020-03-30,25,2,0
Mali,17.570692,-3.996166000000001,2020-03-31,28,2,0
Mali,17.570692,-3.996166000000001,2020-04-01,31,3,0
Mali,17.570692,-3.996166000000001,2020-04-02,36,3,0
Mali,17.570692,-3.996166000000001,2020-04-03,39,3,0
Mali,17.570692,-3.996166000000001,2020-04-04,41,3,1
